CFP2006,Fujitsu,"SPARC Enterprise M4000",16.7,15.8,16,4,4,2,"SPARC64 VII+",2660,,"1 to 2 CPUMs; each CPUM contains 2 CPU chips",No,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","11 MB I+D on chip per chip",None,None,"128 GB (32 x 4 GB, 8-way interleaved)","Oracle Solaris 10 9/10",ufs,"Oracle Solaris Studio 12.2",Dec-2010,Sep-2010,19,Fujitsu,Fujitsu,Sep-2010,Dec-2010,Jul-2014,
CFP2006,Fujitsu,"SPARC Enterprise M8000",19.6,18.2,64,16,4,2,"SPARC64 VII+",3000,,"1 to 4 CMUs; each CMU contains 2 or 4 CPU chips",No,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","12 MB I+D on chip per chip",None,None,"512 GB (128 x 4 GB, 8-way interleaved)","Oracle Solaris 10 9/10",zfs,"Oracle Solaris Studio 12.2",Dec-2010,Sep-2010,19,Fujitsu,Fujitsu,Oct-2010,Dec-2010,Jul-2014,
CFP2006,Fujitsu,"SPARC Enterprise M8000",41.8,33.1,64,16,4,2,"SPARC64 VII+",3000,,"1 to 4 CMUs; each CMU contains 2 or 4 CPU chips",Yes,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","12 MB I+D on chip per chip",None,None,"512 GB (128 x 4 GB, 8-way interleaved)","Oracle Solaris 10 9/10",ufs,"Oracle Solaris Studio 12.2",Dec-2010,Sep-2010,19,"Oracle Corporation",Fujitsu,Oct-2010,Dec-2010,Jul-2014,
CFP2006,"Fujitsu Limited","Fujitsu SPARC Enterprise M3000",13.6,13,4,1,4,2,"SPARC64 VII",2520,,"1 chip",No,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","5 MB I+D on chip per chip",None,None,"16 GB (2 GB x 8), 2-way interleaved","Solaris 10 10/08",ufs,"Sun Studio 12 with patches, 124861-08, 124863-06, 124867-07, 127143-03,, 127000-05, 127001-01, (see patch information below)",Oct-2008,Oct-2008,19,"Fujitsu Limited","Fujitsu Limited",Sep-2008,Nov-2008,Jul-2014,
CFP2006,"Fujitsu Limited","Fujitsu SPARC Enterprise M4000",11.5,10.6,8,4,2,2,"SPARC64 VI",2150,,"1 or 2 CPUM; each CPUM contains 2 CPU chips",No,32-bit,32-bit,"128 KB I + 128 KB D on chip per core","5 MB I+D on chip per chip",None,None,"16 GB (16 x 1 GB, see notes for details)","Solaris 10 11/06",ufs,"Sun Studio 12 (Early Access)",May-2007,May-2007,19,"Fujitsu Limited","Fujitsu Limited",Mar-2007,May-2007,Jul-2014,
CFP2006,"Fujitsu Limited","Fujitsu SPARC Enterprise M4000",12.7,12.1,16,4,4,2,"SPARC64 VII",2400,,"1 to 2 CPUM; each CPUM contains 2 CPU chips",No,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","5 MB I+D on chip per chip",None,None,"64 GB (32 x 2 GB)","Solaris 10 5/08 with patch 137111-03",ufs,"Sun Studio 12 with patches, 124867-06, 124861-07, 124863-05, 127000-05, (see patch information below)",Jul-2008,Jul-2008,19,"Sun Microsystems","Fujitsu Limited",Jul-2008,Aug-2008,Jul-2014,
CFP2006,"Fujitsu Limited","Fujitsu SPARC Enterprise M8000",23.6,20.9,32,16,2,2,"SPARC64 VI",2280,,"1 to 4 CMUs; each CMU contains 2 or 4 chips",Yes,32-bit,32-bit,"128 KB I + 128 KB D on chip per core","5 MB I+D on chip per chip",None,None,"256 GB (128 x 2 GB DIMMs)","Solaris 10 5/08 s10s_u5wos_08",ufs,"Sun Studio 12, see patch information below",Apr-2007,May-2008,19,"Sun Microsystems","Fujitsu Limited",Mar-2008,Mar-2008,Jul-2014,
CFP2006,"Fujitsu Limited","Fujitsu SPARC Enterprise M8000",24.6,21.7,32,16,2,2,"SPARC64 VI",2400,,"1 to 4 CMUs; each CMU contains 2 or 4 chips",Yes,32-bit,32-bit,"128 KB I + 128 KB D on chip per core","6 MB I+D on chip per chip",None,None,"256 GB (128 x 2 GB DIMMs)","Solaris 10 5/08 s10s_u5wos_08",ufs,"Sun Studio 12, Patch 124867-02, (see patch info below)",Apr-2007,May-2008,6,"Sun Microsystems","Fujitsu Limited",Feb-2008,Mar-2008,Jul-2014,
CFP2006,"Fujitsu Limited","Fujitsu SPARC Enterprise M8000",12.4,11.1,32,16,2,2,"SPARC64 VI",2400,,"1 to 4 CMUs; each CMU contains 2 or 4 chips",No,32-bit,32-bit,"128 KB I + 128 KB D on chip per core","6 MB I+D on chip per chip",None,None,"64 GB (64 x 1 GB, see notes for details)","Solaris 10 11/06",ufs,"Sun Studio 12 (Early Access)",Apr-2007,May-2007,19,"Fujitsu Limited","Fujitsu Limited",Mar-2007,May-2007,Jul-2014,
CFP2006,"Fujitsu Limited","Fujitsu SPARC Enterprise M8000",11.9,10.6,32,16,2,2,"SPARC64 VI",2280,,"1 to 4 CMUs; each CMU contains 2 or 4 chips",No,32-bit,32-bit,"128 KB I + 128 KB D on chip per core","5 MB I+D on chip per chip",None,None,"64 GB (64 x 1 GB, see notes for details)","Solaris 10 11/06",ufs,"Sun Studio 12 (Early Access)",Apr-2007,May-2007,19,"Fujitsu Limited","Fujitsu Limited",Mar-2007,May-2007,Jul-2014,
CFP2006,"Fujitsu Limited","Fujitsu SPARC Enterprise M8000",28.8,25,64,16,4,2,"SPARC64 VII",2520,,"1 to 4 CMUs; each CMU contains 2 or 4 chips",Yes,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","6 MB I+D on chip per chip",None,None,"256 GB (128 x 2 GB)","Solaris 10 5/08 with Patch 137111-03",ufs,"Sun Studio 12 with patches, 124867-06, 124861-07, 124863-05, 127000-05, (see patch information below)",Jul-2008,Jul-2008,19,"Sun Microsystems","Fujitsu Limited",Jun-2008,Aug-2008,Jul-2014,
CFP2006,"Fujitsu Limited","Fujitsu SPARC Enterprise M8000",14.4,13.6,64,16,4,2,"SPARC64 VII",2520,,"1 to 4 CMUs; each CMU contains 2 or 4 chips",No,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","6 MB I+D on chip per chip",None,None,"256 GB (128 x 2 GB)","Solaris 10 5/08 with Patch 137111-03",ufs,"Sun Studio 12 with patches, 124867-06, 124861-07, 124863-05, 127000-05, (see patch information below)",Jul-2008,Jul-2008,19,"Sun Microsystems","Fujitsu Limited",Jul-2008,Aug-2008,Jul-2014,
CFP2006,"Oracle Corporation","SPARC Enterprise M3000",18.9,17.9,4,1,4,2,"SPARC64 VII+",2860,,"1 chip",No,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","5632 KB I+D on chip per chip",None,None,"32 GB (8 x 4 GB, 2-way interleaved)","Oracle Solaris 10 9/10",ufs,"Oracle Solaris Studio 12.2",Apr-2011,Sep-2010,6,Fujitsu,"Oracle Corporation",Feb-2011,Apr-2011,Jul-2014,
CFP2006,"Oracle Corporation","SPARC Enterprise M4000",16.7,15.8,16,4,4,2,"SPARC64 VII+",2660,,"1 to 2 CPUMs; each CPUM contains 2 CPU chips",No,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","11 MB I+D on chip per chip",None,None,"128 GB (32 x 4 GB, 8-way interleaved)","Oracle Solaris 10 9/10",ufs,"Oracle Solaris Studio 12.2",Dec-2010,Sep-2010,6,Fujitsu,"Oracle Corporation",Sep-2010,Dec-2010,Jul-2014,
CFP2006,"Oracle Corporation","SPARC Enterprise M8000",41.8,33.1,64,16,4,2,"SPARC64 VII+",3000,,"1 to 4 CMUs; each CMU contains 2 or 4 CPU chips",Yes,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","12 MB I+D on chip per chip",None,None,"512 GB (128 x 4 GB, 8-way interleaved)","Oracle Solaris 10 9/10",ufs,"Oracle Solaris Studio 12.2",Dec-2010,Sep-2010,6,"Oracle Corporation","Oracle Corporation",Oct-2010,Dec-2010,Jul-2014,
CFP2006,"Oracle Corporation","SPARC Enterprise M8000",19.6,18.2,64,16,4,2,"SPARC64 VII+",3000,,"1 to 4 CMUs; each CMU contains 2 or 4 CPU chips",No,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","12 MB I+D on chip per chip",None,None,"512 GB (128 x 4 GB, 8-way interleaved)","Oracle Solaris 10 9/10",zfs,"Oracle Solaris Studio 12.2",Dec-2010,Sep-2010,6,Fujitsu,"Oracle Corporation",Oct-2010,Dec-2010,Jul-2014,
CFP2006,"Sun Microsystems","Sun Blade 1000",0,3.04,2,2,1,1,"UltraSPARC III Cu",900,,"1,2 chips",No,32-bit,"Not Applicable","32 KB I + 64 KB D on chip per chip","8 MB I+D off chip per chip",None,None,"2 GB (4-way interleaved)","Solaris 10 1/06",ufs,"Sun Studio 11 with patch 120760-03",Nov-2001,May-2006,6,"Sun Microsystems","Sun Microsystems",Mar-2006,Aug-2006,Jul-2014,
CFP2006,"Sun Microsystems","Sun Blade 2000",0,3.67,1,1,1,1,"UltraSPARC III Cu",1200,,"1,2 chips",No,32-bit,"Not Applicable","32 KB I + 64 KB D on chip per chip","8 MB I+D off chip per chip",None,None,"8 GB (4-way interleaved)","Solaris 10 3/05",ufs,"Sun Studio 11 with patch 120760-03",Apr-2003,May-2006,6,"Sun Microsystems","Sun Microsystems",Mar-2006,Aug-2006,Jul-2014,
